IBI,Cump,NB,distancia
10.767,NN,7,menos de 30m
5.997,NN,7,menos de 30m
11.477,NN,7,menos de 30m
36.272,NN,7,menos de 30m
8.259,NN,7,menos de 30m
15.727,NN,7,menos de 30m
26.733,NN,7,menos de 30m
41.505,NN,7,menos de 30m
40.765,NN,7,menos de 30m
40.259,NN,7,menos de 30m
19.507,NN,6,menos de 30m
5.528,NN,6,menos de 30m
12.452,NN,5,menos de 30m
12.263,NN,7,menos de 30m
10.998,NN,7,menos de 30m
21.254,NN,4,menos de 30m
11.259,NN,4,menos de 30m
35.79,NN,4,menos de 30m
22.445,NN,5,menos de 30m
9.263,NN,5,menos de 30m
8.002,NN,5,menos de 30m
16.997,NN,4,menos de 30m
32.258,NN,4,menos de 30m
22.724,NN,7,menos de 30m
26.557,NN,7,menos de 30m
4.511,NN,8,menos de 30m
11.481,NN,8,menos de 30m
9.258,NN,4,menos de 30m
20.753,NN,8,menos de 30m
28.492,NN,8,menos de 30m
19.248,NN,6,menos de 30m
20.034,NN,6,menos de 30m
19.702,NN,4,menos de 30m
5.513,NN,4,menos de 30m
34.979,NN,5,menos de 30m
24.529,NN,5,menos de 30m
33.488,NN,5,menos de 30m
25.516,NN,5,menos de 30m
5.49,NN,5,menos de 30m
6.494,NN,5,menos de 30m
28,NN,6,menos de 30m
17.249,NN,6,menos de 30m
16.249,NN,6,menos de 30m
52.248,NN,5,menos de 30m
8.001,NN,4,menos de 30m
11.248,NN,4,menos de 30m
21.004,NN,9,menos de 30m
9.997,NN,7,menos de 30m
76.069,NN,5,menos de 30m
28.256,NN,5,menos de 30m
16.492,NN,5,menos de 30m
92.271,NN,5,menos de 30m
20.479,NN,7,menos de 30m
17.252,NN,6,menos de 30m
58.761,NN,6,menos de 30m
37.471,NN,6,menos de 30m
52.349,NN,6,menos de 30m
42.234,NN,4,menos de 30m
39.767,NN,4,menos de 30m
20.705,NN,4,menos de 30m
15.029,NN,4,menos de 30m
35.733,NN,4,menos de 30m
28.276,NN,5,menos de 30m
14.246,NN,4,menos de 30m
66.488,NN,4,menos de 30m
46.264,NN,4,menos de 30m
55.971,NN,4,menos de 30m
48.011,NN,4,menos de 30m
9.262,NN,4,menos de 30m
10.744,NN,4,menos de 30m
6.748,NN,4,menos de 30m
34.285,NN,5,menos de 30m
34.352,NN,5,menos de 30m
36.592,NN,5,menos de 30m
11.753,NN,4,menos de 30m
89.968,NN,6,menos de 30m
7.292,NN,6,menos de 30m
68.772,NN,7,menos de 30m
14.531,NN,7,menos de 30m
15.496,NN,7,menos de 30m
28.735,NN,6,menos de 30m
40.256,NN,6,menos de 30m
13.745,NN,5,menos de 30m
11.764,NN,5,menos de 30m
12.243,NN,4,menos de 30m
7.005,NN,4,menos de 30m
13.5,NN,6,menos de 30m
13.723,NN,7,menos de 30m
66.754,NN,7,menos de 30m
30.502,NN,6,menos de 30m
9.983,NN,6,menos de 30m
94.994,NN,6,menos de 30m
16.749,NN,6,menos de 30m
10.511,NN,6,menos de 30m
133.21,NN,6,menos de 30m
12.768,NN,5,menos de 30m
4.781,NN,5,menos de 30m
10.714,NN,5,menos de 30m
12.812,NN,6,menos de 30m
106.497,NN,6,menos de 30m
41.497,NN,6,menos de 30m
12.758,NN,5,menos de 30m
24.236,NN,5,menos de 30m
80.528,NN,5,menos de 30m
12.498,NN,6,menos de 30m
11.742,NN,6,menos de 30m
113.794,NN,6,menos de 30m
5.253,NN,6,menos de 30m
6,NN,4,menos de 30m
10,NN,4,menos de 30m
